div,data,TeamBlue,TeamPurple,MPB,MPP,MR,TRB,TRP,FRR,RB,RP,W10B,L10B,W10P,L10P,HWB,HWP,GBB,GBP,BO,url
lcs-s-16,2016-01-16,Cloud 9,Immortals,0,1,P,19,5,P,1141,1284,22.0,2.0,22.0,2.0,100.0,0.0,100.0,0.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98280-cloud-9-vs-immortals
lcs-s-16,2016-03-12,Counter Logic Gaming LoL,Team Liquid LoL,0,1,P,11,22,P,1221,1131,27.0,13.0,27.0,13.0,62.5,37.5,66.0,34.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98301-counter-logic-gaming-lol-vs-team-liquid-lol
lcs-s-16,2016-02-20,Renegades - LoL,Immortals,0,1,P,33,5,P,1052,1284,7.0,2.0,7.0,2.0,100.0,0.0,10.0,90.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98321-renegades-lol-vs-immortals
lcs-s-16,2016-03-13,NRG eSports,Team Liquid LoL,1,0,B,37,22,B,1022,1131,8.0,13.0,8.0,13.0,100.0,0.0,42.0,58.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98338-nrg-esports-vs-team-liquid-lol
lcs-s-16,2016-02-20,Cloud 9,Team Solomid,1,0,B,19,23,B,1141,1126,22.0,24.0,22.0,24.0,62.5,37.5,68.0,32.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98300-cloud-9-vs-team-solomid
lcs-s-16,2016-03-13,Renegades - LoL,Team Solomid,1,0,B,33,23,B,1052,1126,7.0,24.0,7.0,24.0,100.0,0.0,16.0,84.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98333-renegades-lol-vs-team-solomid
lcs-s-16,2016-02-21,Team Impulse,Counter Logic Gaming LoL,0,1,P,45,11,P,972,1221,15.0,15.0,15.0,15.0,66.66666666666667,33.333333333333336,21.0,79.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98328-team-impulse-vs-counter-logic-gaming-lol
lcs-s-16,2016-01-30,NRG eSports,Team Liquid LoL,0,1,P,37,22,P,1022,1131,8.0,13.0,8.0,13.0,50.0,50.0,50.0,50.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98293-nrg-esports-vs-team-liquid-lol
lcs-s-16,2016-02-06,Cloud 9,Renegades - LoL,1,0,B,19,33,B,1141,1052,22.0,13.0,22.0,13.0,0.0,100.0,85.0,15.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98270-cloud-9-vs-renegades-lol
lcs-s-16,2016-03-12,Immortals,NRG eSports,1,0,B,5,37,B,1284,1022,18.0,10.0,18.0,10.0,0.0,100.0,94.0,6.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98304-immortals-vs-nrg-esports
lcs-s-16,2016-01-25,Echo Fox,Team Liquid LoL,0,1,P,48,22,P,962,1131,6.0,13.0,6.0,13.0,0.0,100.0,0.0,100.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98297-echo-fox-vs-team-liquid-lol
lcs-s-16,2016-01-31,Team Impulse,Team Liquid LoL,0,1,P,45,22,P,972,1131,15.0,13.0,15.0,13.0,85.71428571428572,14.285714285714286,85.71428571428572,14.285714285714286,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98289-team-impulse-vs-team-liquid-lol
lcs-s-16,2016-02-14,Immortals,Team Dignitas - LoL,1,0,B,5,58,B,1284,892,18.0,22.0,18.0,22.0,0.0,100.0,92.0,8.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98286-immortals-vs-team-dignitas-lol
lcs-s-16,2016-01-23,Cloud 9,Team Impulse,0,1,P,19,45,P,1141,972,22.0,18.0,22.0,18.0,50.0,50.0,50.0,50.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98265-cloud-9-vs-team-impulse
lcs-s-16,2016-03-14,Immortals,Team Dignitas - LoL,1,0,B,5,58,B,1284,892,18.0,22.0,18.0,22.0,0.0,100.0,100.0,0.0,1,http://www.gosugamers.net/lol/tournaments/8554-2016-na-lcs-spring/matches/98331-immortals-vs-team-dignitas-lol
